Model,PLR
401B,p
414,p
BE-58,p
PA-34,p
Skymaster,p
PA-31,p
340,p
PA-23,p
A310,l
EMB110,p
C45,p
F50,p
AEROSTAR 601P,p
58,p
402,p
B200,p
99,p
200,p
C55,P
421,P
401,P
737,L
90,P
PA-44,P
404,P
56TC,P
PA-60,P
D18S,P
B90,P
A320,L
PA-30,P
B58,P
707,L
E18S,p
B55,p
PA-38,p
Citation,p
KC-135A,l
PA-28,p
65-A90,p
G-159C,r
65-88,p
PA-32,p
690,p
D55,P
601P,p
E55,p
C-18S,p
727,l
AEROSTAR 602P,p
150,p
411,p
BE-99,p
B95,p
A60,p
411A,p
980(695),p
P-60-601P,p
D95A,p
65-90,p
18,p
140,r
150F,P
500,P
C-35,P
T303,P
H-18,P
PA-39,P
58P,P
60,P
A55,P
B-60,P
B99,P
58TC,p
336,p
401A,P
G18,P
76,P
E90,p
50,P
25,p
24D,p
551,p
35A,P
100,p
CL-600,p
717,l
747,l
S550,p
GIV,p
777,l
A319,l
1900,r
C90,p
425,p
390,p
EMB145,R
EMB170,R
F90,P
BE-76,p
750,p
560XL,p
MD-11,l
Seneca,p
E-18,p
EMB120,r
767,l
441,p
65-A80,p
A200,P
550,p
757,l
A100,p
560,p
LR60,p
A330,l
34-200T,p
45,p
680,p
AEROSTAR 6,p
B60,p
45XR,p
Commander,p
35,p
650,p
CRJ,r
BE-100,p
PA-42,p
Learjet 55,p
BE-200,P
A36TC,P
DC-10,L
95,p
EMB135,r
MD82,L
B100,p
DHC-8,r
CE-560,p
EMB190,r
C-99,p
MD,l
A300,l
65,p
550B,P
65-B80,P
BD-100,p
G-1159,p
300,p
A321,L
Aerostar 601P,P
E-90,p
25B,p
E18S-9700,p
GV-SP,p
GVI,p
90B,P
A380,L
400,p
EMB810,p
BD-700,p
MD-90,L
EMB500,P
B-17G,l
CRJ701,r
G-58,p
G150,p
31A,p
G58,P
G550,P
3NM,p
400A,P
36A,P
MD-88,L
787,L
EMB820,P
321,l
B200GT,p
C50,P
T-50,P
182J,P
CRJ700,R
BE-300-LW,P
D95,P
25D,P
RC 45J,P
C99,R
E175,R
208B,P
56,P
C35,P
GULFSTREAM150,p
55,p
B,p
31,p
G V,p
695A,P
EMB175,r
B300,P
335,p
GULFSTREAM GVI,P
A220,L
BD-500,l
350,p
55C,p
U-8F,p
AEROSTAR 600,p
36,p
EMB545,p
G650,p
31,p
25,p
55,P
36,P
24,P
